country,country_code,country_iso,prefix,voice_rate_in_dollars,voice_unit_in_seconds
Algeria,213,DZA,213,0.15200,60
Algeria,213,DZA,2131,0.13300,60
Algeria,213,DZA,2132,0.09900,60
Algeria,213,DZA,2135,0.62100,60
Algeria,213,DZA,2136,0.44800,60
Algeria,213,DZA,2137,0.20300,60
Algeria,213,DZA,2139,0.21600,60
Tunisia,216,TUN,216,0.57500,60
Tunisia,216,TUN,2162,0.43300,60
Tunisia,216,TUN,2163,0.46800,60
Tunisia,216,TUN,2164,0.61900,60
Tunisia,216,TUN,2165,0.73200,60
Tunisia,216,TUN,2167,0.47000,60
Tunisia,216,TUN,2169,0.43300,60
Libya,218,LBY,218,0.32700,60
Libya,218,LBY,2189,0.35900,60
Gambia,220,GMB,220,0.46500,60
Gambia,220,GMB,2203,0.46500,60
Gambia,220,GMB,2206,0.46500,60
Gambia,220,GMB,2207,0.46500,60
Gambia,220,GMB,2208,0.59600,60
Gambia,220,GMB,2209,0.46500,60
Senegal,221,SEN,221,0.65800,60
Senegal,221,SEN,2213,0.51900,60
Senegal,221,SEN,2217,0.84000,60
Mauritania,222,MRT,222,0.65200,60
Mauritania,222,MRT,2222,0.61900,60
Mauritania,222,MRT,2223,0.63000,60
Mauritania,222,MRT,2224,0.68700,60
Mauritania,222,MRT,2226,0.59900,60
Mauritania,222,MRT,2227,0.59900,60
Mali,223,MLI,223,0.25800,60
Mali,223,MLI,2232,0.21700,60
Mali,223,MLI,2234,0.25700,60
Mali,223,MLI,2236,0.33700,60
Mali,223,MLI,2237,0.58000,60
Guinea,224,GIN,224,0.76700,60
Guinea,224,GIN,2242,0.66000,60
Guinea,224,GIN,2244,0.76700,60
Guinea,224,GIN,2245,0.69100,60
Guinea,224,GIN,2246,0.72100,60
Guinea,224,GIN,2247,0.90200,60
Cote d'Ivoire,225,CIV,225,0.39300,60
Cote d'Ivoire,225,CIV,2250,0.27900,60
Cote d'Ivoire,225,CIV,2251,0.61600,60
Cote d'Ivoire,225,CIV,2252,0.25500,60
Cote d'Ivoire,225,CIV,2253,0.32000,60
Cote d'Ivoire,225,CIV,2254,0.31600,60
Cote d'Ivoire,225,CIV,2255,0.27600,60
Cote d'Ivoire,225,CIV,2256,0.30100,60
Cote d'Ivoire,225,CIV,2257,0.61600,60
Cote d'Ivoire,225,CIV,2258,0.61600,60
Cote d'Ivoire,225,CIV,2259,0.83200,60
Burkina Faso,226,BFA,226,0.26800,60
Burkina Faso,226,BFA,2262,0.26800,60
Burkina Faso,226,BFA,2265,5.07500,60
Burkina Faso,226,BFA,2266,0.21800,60
Burkina Faso,226,BFA,2267,0.27800,60
Niger,227,NER,227,0.40200,60
Niger,227,NER,2271,8.50400,60
Niger,227,NER,2272,0.69800,60
Niger,227,NER,2273,8.50400,60
Niger,227,NER,2279,0.40200,60
Togo,228,TGO,228,0.42400,60
Togo,228,TGO,2280,0.39200,60
Togo,228,TGO,2281,0.78900,60
Togo,228,TGO,2282,0.78900,60
Togo,228,TGO,2283,0.78900,60
Togo,228,TGO,2284,8.50400,60
Togo,228,TGO,2285,0.77600,60
Togo,228,TGO,2286,4.67700,60
Togo,228,TGO,2287,0.42300,60
Togo,228,TGO,2288,0.45200,60
Togo,228,TGO,2289,0.77200,60
Benin,229,BEN,229,0.21200,60
Benin,229,BEN,2296,0.21500,60
Benin,229,BEN,2299,0.21400,60
Mauritius,230,MUS,230,0.18100,60
Mauritius,230,MUS,2302,0.18100,60
Mauritius,230,MUS,2304,0.27400,60
Mauritius,230,MUS,2305,0.26800,60
Mauritius,230,MUS,2307,0.27300,60
Mauritius,230,MUS,2308,0.27300,60
Mauritius,230,MUS,2309,0.26400,60
Liberia,231,LBR,231,0.29100,60
Liberia,231,LBR,2310,0.44800,60
Liberia,231,LBR,2312,0.44800,60
Liberia,231,LBR,2313,0.44800,60
Liberia,231,LBR,2314,1.39300,60
Liberia,231,LBR,2315,0.40900,60
Liberia,231,LBR,2316,0.31200,60
Liberia,231,LBR,2317,0.42000,60
Liberia,231,LBR,2318,0.31200,60
Liberia,231,LBR,2319,0.44300,60
Sierra Leone,232,SLE,232,0.41600,60
Sierra Leone,232,SLE,2322,0.46440,60
Sierra Leone,232,SLE,2323,0.42200,60
Sierra Leone,232,SLE,2324,0.39400,60
Sierra Leone,232,SLE,2325,0.38400,60
Sierra Leone,232,SLE,2327,0.41300,60
Sierra Leone,232,SLE,2328,0.41000,60
Ghana,233,GHA,233,0.40900,60
Ghana,233,GHA,2332,0.40900,60
Ghana,233,GHA,2333,0.38300,60
